Unnamed: 0,track_id,track_name,release_date,artist_id,artist_name,popularity,followers,record_label,danceability,energy,instrumentalness,valence,tempo,tempo_adjusted,year
2707,1ei3hzQmrgealgRKFxIcWn,In The Stars,2022-04-29,22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,3720256,Warner Music Group,0.362,0.54,0.0,0.3,78.007,0.0,2022
2772,5YbPxJwPfrj7uswNwoF1pJ,Last Last,2022-07-07,3wcj11K77LjEY1PkEazffa,Burna Boy,81,10322907,Warner Music Group,0.795,0.565,0.0,0.55,87.925,1.0,2022
2811,1jEBSDN5vYViJQr78W7jr2,Light Switch,2022-10-06,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,82,23313087,Warner Music Group,0.689,0.627,0.000321,0.905,184.008,1.0,2022
2814,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),2022-10-06,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,82,23313087,Warner Music Group,0.881,0.592,1.32e-05,0.719,101.058,1.0,2022
2858,0rCFRyEy4WXjRXNpO80Dzs,Fall In Love,2023-01-11,3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,76,1366041,Warner Music Group,0.524,0.643,0.0,0.397,135.962,0.5,2023
2859,1TE8AAk9koG0UJco6ZAUfx,Rock and A Hard Place,2023-01-11,3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,76,1366041,Warner Music Group,0.582,0.568,0.0,0.394,121.991,0.5,2023
2860,0wXThIDxO3YRJCpPgnmbkw,Where It Ends,2023-01-11,3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,76,1366041,Warner Music Group,0.431,0.837,0.0,0.648,170.041,1.0,2023
2863,26YvZWW29FXHaSRQzajRYv,Fix'n To Break,2023-01-11,3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,76,1366041,Warner Music Group,0.455,0.721,2.37e-06,0.362,152.031,0.5,2023
2864,0bILU0UiNDmA5Ff6whhb2R,Religiously,2023-01-11,3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,76,1366041,Warner Music Group,0.57,0.67,0.0,0.593,140.924,1.0,2023
2931,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,2023-04-06,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90,26286764,Warner Music Group,0.602,0.91,0.000174,0.228,127.944,0.5,2023
2932,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,2023-04-06,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,79,12077748,Warner Music Group,0.602,0.91,0.000174,0.228,127.944,0.5,2023
2938,3j11iDncb7ZeDMw7lFucqM,The Motto,2023-04-21,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,80,7128382,Warner Music Group,0.754,0.763,2.23e-05,0.464,117.953,0.0,2023
2963,5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",2023-06-02,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,79,8479739,Warner Music Group,0.636,0.537,0.0,0.199,140.133,0.5,2023
2992,5VxmI3IdgAxWVvUnJoLuY2,Speed Drive (From Barbie The Album),2023-06-29,25uiPmTg16RbhZWAqwLBy5,Charli xcx,89,4251411,Warner Music Group,0.652,0.879,0.0896,0.789,173.925,1.0,2023
3042,6UoKX6uLJwhsnyTp5k5StP,The Painter,2023-08-11,6zLBxLdl60ekBLpawtT63I,Cody Johnson,77,1462566,Warner Music Group,0.512,0.709,4.25e-06,0.261,97.981,0.0,2023
3128,48X5k2vce5rXckgDAnXMsa,Dirt Cheap,2023-11-03,6zLBxLdl60ekBLpawtT63I,Cody Johnson,77,1462566,Warner Music Group,0.62,0.507,0.0,0.266,120.065,0.5,2023
